Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2013,31151A,Fluid milk and butter manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,3,1,4,1
2013,311520,Ice cream and frozen dessert manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.453,0.011,0.464,3,3,1,4,1
2013,311520,Ice cream and frozen dessert manufacturing,methane,"kg/2018 USD, purchaser price",0.01,0.0,0.011,3,3,1,1,1
2013,311520,Ice cream and frozen dessert manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,3,1
2013,311520,Ice cream and frozen dessert manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.014,0.0,0.014,4,3,1,5,1
2013,311615,Poultry processing,carbon dioxide,"kg/2018 USD, purchaser price",0.635,0.013,0.648,4,3,1,4,1
2013,311615,Poultry processing,methane,"kg/2018 USD, purchaser price",0.006,0.0,0.006,3,3,1,1,1
2013,311615,Poultry processing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311615,Poultry processing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,3,1,4,1
2013,31161A,"Animal (except poultry) slaughtering, rendering, and processing",carbon dioxide,"kg/2018 USD, purchaser price",0.523,0.015,0.538,4,3,1,4,1
2013,31161A,"Animal (except poultry) slaughtering, rendering, and processing",methane,"kg/2018 USD, purchaser price",0.046,0.0,0.046,4,3,1,1,1
2013,31161A,"Animal (except poultry) slaughtering, rendering, and processing",nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2013,31161A,"Animal (except poultry) slaughtering, rendering, and processing",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,3,1,4,1
2013,311700,Seafood product preparation and packaging,carbon dioxide,"kg/2018 USD, purchaser price",0.352,0.018,0.371,4,3,1,4,1
2013,311700,Seafood product preparation and packaging,methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,1,1
2013,311700,Seafood product preparation and packaging,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,4,1
2013,311700,Seafood product preparation and packaging,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,3,1,4,1
2013,311810,Bread and bakery product manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.393,0.038,0.431,3,3,1,4,1
2013,311810,Bread and bakery product manufacturing,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,1,1
2013,311810,Bread and bakery product manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311810,Bread and bakery product manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0.0,0.006,4,3,1,4,1
2013,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",carbon dioxide,"kg/2018 USD, purchaser price",0.517,0.001,0.518,3,3,1,4,1
2013,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,1,1
2013,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0.0,0.01,4,3,1,5,1
2013,311910,Snack food manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.402,0.028,0.43,3,3,1,4,1
